Begin,End,Label,Type,Speaker
0.0,0.18,but,words,temp
0.18,0.31,when,words,temp
0.31,0.46,i,words,temp
0.46,0.64,had,words,temp
0.64,1.19,approached,words,temp
1.22,1.58,so,words,temp
1.58,1.91,near,words,temp
1.91,2.11,to,words,temp
2.11,2.41,them,words,temp
2.53,2.61,the,words,temp
2.61,3.01,common,words,temp
3.04,3.6,object,words,temp
3.67,3.94,which,words,temp
3.94,4.01,the,words,temp
4.01,4.34,sense,words,temp
4.34,4.96,deceives,words,temp
5.03,5.53,lost,words,temp
5.53,6.0,not,words,temp
6.0,6.14,by,words,temp
6.14,6.66,distance,words,temp
6.78,7.05,any,words,temp
7.05,7.18,of,words,temp
7.18,7.33,its,words,temp
7.33,7.87,marks,words,temp
0.0,0.05,B,phones,temp
0.05,0.08,AH1,phones,temp
0.08,0.18,T,phones,temp
0.18,0.23,W,phones,temp
0.23,0.27,EH1,phones,temp
0.27,0.31,N,phones,temp
0.31,0.46,AY1,phones,temp
0.46,0.55,HH,phones,temp
0.55,0.6,AE1,phones,temp
0.6,0.64,D,phones,temp
0.64,0.7,AH0,phones,temp
0.7,0.83,P,phones,temp
0.83,0.88,R,phones,temp
0.88,0.98,OW1,phones,temp
0.98,1.12,CH,phones,temp
1.12,1.19,T,phones,temp
1.22,1.4,S,phones,temp
1.4,1.58,OW1,phones,temp
1.58,1.7,N,phones,temp
1.7,1.84,IH1,phones,temp
1.84,1.91,R,phones,temp
1.91,2.02,T,phones,temp
2.02,2.11,AH0,phones,temp
2.11,2.12,DH,phones,temp
2.12,2.3,EH1,phones,temp
2.3,2.41,M,phones,temp
2.53,2.54,DH,phones,temp
2.54,2.61,AH0,phones,temp
2.61,2.73,K,phones,temp
2.73,2.85,AA1,phones,temp
2.85,2.9,M,phones,temp
2.9,2.95,AH0,phones,temp
2.95,3.01,N,phones,temp
3.04,3.21,AA1,phones,temp
3.21,3.26,B,phones,temp
3.26,3.34,JH,phones,temp
3.34,3.48,EH0,phones,temp
3.48,3.54,K,phones,temp
3.54,3.6,T,phones,temp
3.67,3.68,HH,phones,temp
3.68,3.76,W,phones,temp
3.76,3.79,IH1,phones,temp
3.79,3.94,CH,phones,temp
3.94,3.95,DH,phones,temp
3.95,4.01,AH0,phones,temp
4.01,4.12,S,phones,temp
4.12,4.2,EH1,phones,temp
4.2,4.26,N,phones,temp
4.26,4.34,S,phones,temp
4.34,4.42,D,phones,temp
4.42,4.45,IH0,phones,temp
4.45,4.59,S,phones,temp
4.59,4.79,IY1,phones,temp
4.79,4.86,V,phones,temp
4.86,4.96,Z,phones,temp
5.03,5.11,L,phones,temp
5.11,5.32,AO1,phones,temp
5.32,5.42,S,phones,temp
5.42,5.53,T,phones,temp
5.53,5.69,N,phones,temp
5.69,5.89,AA1,phones,temp
5.89,6.0,T,phones,temp
6.0,6.05,B,phones,temp
6.05,6.14,AY1,phones,temp
6.14,6.23,D,phones,temp
6.23,6.3,IH1,phones,temp
6.3,6.38,S,phones,temp
6.38,6.45,T,phones,temp
6.45,6.51,AH0,phones,temp
6.51,6.57,N,phones,temp
6.57,6.66,S,phones,temp
6.78,6.89,EH1,phones,temp
6.89,6.95,N,phones,temp
6.95,7.05,IY0,phones,temp
7.05,7.13,AH1,phones,temp
7.13,7.18,V,phones,temp
7.18,7.22,IH0,phones,temp
7.22,7.29,T,phones,temp
7.29,7.33,S,phones,temp
7.33,7.39,M,phones,temp
7.39,7.5,AA1,phones,temp
7.5,7.58,R,phones,temp
7.58,7.69,K,phones,temp
7.69,7.87,S,phones,temp
