wav_fn	orig_transcript	new_transcript	orig_masked_span	new_masked_span	type
1988_24833_000028_000000_snr0.wav	I get the pillows comfortably arranged on the floor, with a big bottle of soda and a bag of popcorn within easy reach.	I get the pillows scattered wildly on the floor, with a big bottle of soda and a bag of popcorn within easy reach.	4,5	4,5	substitution
1988_24833_000028_000000_snr5.wav	I get the pillows comfortably arranged on the floor, with a big bottle of soda and a bag of popcorn within easy reach.	I get the pillows scattered wildly on the floor, with a big bottle of soda and a bag of popcorn within easy reach.	4,5	4,5	substitution
1988_24833_000028_000000_snr10.wav	I get the pillows comfortably arranged on the floor, with a big bottle of soda and a bag of popcorn within easy reach.	I get the pillows scattered wildly on the floor, with a big bottle of soda and a bag of popcorn within easy reach.	4,5	4,5	substitution
1988_24833_000028_000000_snr15.wav	I get the pillows comfortably arranged on the floor, with a big bottle of soda and a bag of popcorn within easy reach.	I get the pillows scattered wildly on the floor, with a big bottle of soda and a bag of popcorn within easy reach.	4,5	4,5	substitution
1988_24833_000028_000000_snr20.wav	I get the pillows comfortably arranged on the floor, with a big bottle of soda and a bag of popcorn within easy reach.	I get the pillows scattered wildly on the floor, with a big bottle of soda and a bag of popcorn within easy reach.	4,5	4,5	substitution
1988_24833_000028_000000_snr25.wav	I get the pillows comfortably arranged on the floor, with a big bottle of soda and a bag of popcorn within easy reach.	I get the pillows scattered wildly on the floor, with a big bottle of soda and a bag of popcorn within easy reach.	4,5	4,5	substitution
1919_142785_000003_000002_snr0.wav	In a short time, boil up the vinegar again, add pepper and ginger in the above proportion, and instantly cover them up.	In a short time, boil up the water, add pepper and ginger in the above proportion, and instantly cover them up.	7,8	7	substitution
1919_142785_000003_000002_snr5.wav	In a short time, boil up the vinegar again, add pepper and ginger in the above proportion, and instantly cover them up.	In a short time, boil up the water, add pepper and ginger in the above proportion, and instantly cover them up.	7,8	7	substitution
1919_142785_000003_000002_snr10.wav	In a short time, boil up the vinegar again, add pepper and ginger in the above proportion, and instantly cover them up.	In a short time, boil up the water, add pepper and ginger in the above proportion, and instantly cover them up.	7,8	7	substitution
1919_142785_000003_000002_snr15.wav	In a short time, boil up the vinegar again, add pepper and ginger in the above proportion, and instantly cover them up.	In a short time, boil up the water, add pepper and ginger in the above proportion, and instantly cover them up.	7,8	7	substitution
1919_142785_000003_000002_snr20.wav	In a short time, boil up the vinegar again, add pepper and ginger in the above proportion, and instantly cover them up.	In a short time, boil up the water, add pepper and ginger in the above proportion, and instantly cover them up.	7,8	7	substitution
1919_142785_000003_000002_snr25.wav	In a short time, boil up the vinegar again, add pepper and ginger in the above proportion, and instantly cover them up.	In a short time, boil up the water, add pepper and ginger in the above proportion, and instantly cover them up.	7,8	7	substitution
2506_11278_000007_000001_snr0.wav	The Right Honourable was the son of a nobleman, and practised on an old lady.	The Right Honourable was the son of a nobleman of the oldest sort, and practised on an old lady.	8,9	9,12	insertion
2506_11278_000007_000001_snr5.wav	The Right Honourable was the son of a nobleman, and practised on an old lady.	The Right Honourable was the son of a nobleman of the oldest sort, and practised on an old lady.	8,9	9,12	insertion
2506_11278_000007_000001_snr10.wav	The Right Honourable was the son of a nobleman, and practised on an old lady.	The Right Honourable was the son of a nobleman of the oldest sort, and practised on an old lady.	8,9	9,12	insertion
2506_11278_000007_000001_snr15.wav	The Right Honourable was the son of a nobleman, and practised on an old lady.	The Right Honourable was the son of a nobleman of the oldest sort, and practised on an old lady.	8,9	9,12	insertion
2506_11278_000007_000001_snr20.wav	The Right Honourable was the son of a nobleman, and practised on an old lady.	The Right Honourable was the son of a nobleman of the oldest sort, and practised on an old lady.	8,9	9,12	insertion
2506_11278_000007_000001_snr25.wav	The Right Honourable was the son of a nobleman, and practised on an old lady.	The Right Honourable was the son of a nobleman of the oldest sort, and practised on an old lady.	8,9	9,12	insertion
6295_64301_000013_000007_snr0.wav	It cried aloud that eternity was very long, and like a great palace without a quiet room.|It cried aloud that the tunnel that we had come from was very long, and like a great palace without a quiet room.	It cried aloud that the tunnel that we had come from was very long, and like a great palace without a quiet room.|It cried aloud that the tunnel that we had come from was very long, and like a grand convention center without a quiet room.	4|11,12	4,10|17,19	substitution|substitution
6295_64301_000013_000007_snr5.wav	It cried aloud that eternity was very long, and like a great palace without a quiet room.|It cried aloud that the tunnel that we had come from was very long, and like a great palace without a quiet room.	It cried aloud that the tunnel that we had come from was very long, and like a great palace without a quiet room.|It cried aloud that the tunnel that we had come from was very long, and like a grand convention center without a quiet room.	4|11,12	4,10|17,19	substitution|substitution
6295_64301_000013_000007_snr10.wav	It cried aloud that eternity was very long, and like a great palace without a quiet room.|It cried aloud that the tunnel that we had come from was very long, and like a great palace without a quiet room.	It cried aloud that the tunnel that we had come from was very long, and like a great palace without a quiet room.|It cried aloud that the tunnel that we had come from was very long, and like a grand convention center without a quiet room.	4|11,12	4,10|17,19	substitution|substitution
6295_64301_000013_000007_snr15.wav	It cried aloud that eternity was very long, and like a great palace without a quiet room.|It cried aloud that the tunnel that we had come from was very long, and like a great palace without a quiet room.	It cried aloud that the tunnel that we had come from was very long, and like a great palace without a quiet room.|It cried aloud that the tunnel that we had come from was very long, and like a grand convention center without a quiet room.	4|11,12	4,10|17,19	substitution|substitution
6295_64301_000013_000007_snr20.wav	It cried aloud that eternity was very long, and like a great palace without a quiet room.|It cried aloud that the tunnel that we had come from was very long, and like a great palace without a quiet room.	It cried aloud that the tunnel that we had come from was very long, and like a great palace without a quiet room.|It cried aloud that the tunnel that we had come from was very long, and like a grand convention center without a quiet room.	4|11,12	4,10|17,19	substitution|substitution
6295_64301_000013_000007_snr25.wav	It cried aloud that eternity was very long, and like a great palace without a quiet room.|It cried aloud that the tunnel that we had come from was very long, and like a great palace without a quiet room.	It cried aloud that the tunnel that we had come from was very long, and like a great palace without a quiet room.|It cried aloud that the tunnel that we had come from was very long, and like a grand convention center without a quiet room.	4|11,12	4,10|17,19	substitution|substitution
2412_153954_000009_000001_snr0.wav	When I had shown them what I did with it, they were astonished but not displeased, and seemed to like the smell.|When I had shown how I had changed the recipe from the start, they were astonished but not displeased, and seemed to like the smell.	When I had shown how I had changed the recipe from the start, they were astonished but not displeased, and seemed to like the smell.|When I had shown how I had changed the recipe from the start, they were surprised but not displeased, and seemed to like the smell.	3,4|12	4,6|15	insertion|substitution
2412_153954_000009_000001_snr5.wav	When I had shown them what I did with it, they were astonished but not displeased, and seemed to like the smell.|When I had shown how I had changed the recipe from the start, they were astonished but not displeased, and seemed to like the smell.	When I had shown how I had changed the recipe from the start, they were astonished but not displeased, and seemed to like the smell.|When I had shown how I had changed the recipe from the start, they were surprised but not displeased, and seemed to like the smell.	3,4|12	4,6|15	insertion|substitution
2412_153954_000009_000001_snr10.wav	When I had shown them what I did with it, they were astonished but not displeased, and seemed to like the smell.|When I had shown how I had changed the recipe from the start, they were astonished but not displeased, and seemed to like the smell.	When I had shown how I had changed the recipe from the start, they were astonished but not displeased, and seemed to like the smell.|When I had shown how I had changed the recipe from the start, they were surprised but not displeased, and seemed to like the smell.	3,4|12	4,6|15	insertion|substitution
2412_153954_000009_000001_snr15.wav	When I had shown them what I did with it, they were astonished but not displeased, and seemed to like the smell.|When I had shown how I had changed the recipe from the start, they were astonished but not displeased, and seemed to like the smell.	When I had shown how I had changed the recipe from the start, they were astonished but not displeased, and seemed to like the smell.|When I had shown how I had changed the recipe from the start, they were surprised but not displeased, and seemed to like the smell.	3,4|12	4,6|15	insertion|substitution
2412_153954_000009_000001_snr20.wav	When I had shown them what I did with it, they were astonished but not displeased, and seemed to like the smell.|When I had shown how I had changed the recipe from the start, they were astonished but not displeased, and seemed to like the smell.	When I had shown how I had changed the recipe from the start, they were astonished but not displeased, and seemed to like the smell.|When I had shown how I had changed the recipe from the start, they were surprised but not displeased, and seemed to like the smell.	3,4|12	4,6|15	insertion|substitution
2412_153954_000009_000001_snr25.wav	When I had shown them what I did with it, they were astonished but not displeased, and seemed to like the smell.|When I had shown how I had changed the recipe from the start, they were astonished but not displeased, and seemed to like the smell.	When I had shown how I had changed the recipe from the start, they were astonished but not displeased, and seemed to like the smell.|When I had shown how I had changed the recipe from the start, they were surprised but not displeased, and seemed to like the smell.	3,4|12	4,6|15	insertion|substitution
3536_8226_000019_000000_snr0.wav	"It's love for her as has done it then," said Bozzle, shaking his head.	"It's love for her as has been done before then," said Bozzle, shaking his head.	6,7	6,8	substitution
3536_8226_000019_000000_snr5.wav	"It's love for her as has done it then," said Bozzle, shaking his head.	"It's love for her as has been done before then," said Bozzle, shaking his head.	6,7	6,8	substitution
3536_8226_000019_000000_snr10.wav	"It's love for her as has done it then," said Bozzle, shaking his head.	"It's love for her as has been done before then," said Bozzle, shaking his head.	6,7	6,8	substitution
3536_8226_000019_000000_snr15.wav	"It's love for her as has done it then," said Bozzle, shaking his head.	"It's love for her as has been done before then," said Bozzle, shaking his head.	6,7	6,8	substitution
3536_8226_000019_000000_snr20.wav	"It's love for her as has done it then," said Bozzle, shaking his head.	"It's love for her as has been done before then," said Bozzle, shaking his head.	6,7	6,8	substitution
3536_8226_000019_000000_snr25.wav	"It's love for her as has done it then," said Bozzle, shaking his head.	"It's love for her as has been done before then," said Bozzle, shaking his head.	6,7	6,8	substitution
4831_25894_000013_000000_snr0.wav	But see, then, it is cold in the streets; the wind bites, and the snow freezes one's fingers.	But see, then, it is cold in the streets; the hail scares all of the critters, and the snow freezes one's fingers.	10,11	10,15	substitution
4831_25894_000013_000000_snr5.wav	But see, then, it is cold in the streets; the wind bites, and the snow freezes one's fingers.	But see, then, it is cold in the streets; the hail scares all of the critters, and the snow freezes one's fingers.	10,11	10,15	substitution
